tconst,directors,writers
tt0246359,nm1037481,"nm1236437,nm0934944,nm0302280,nm0200715,nm0817326,nm1040874,nm1526395,nm2834049,nm0120028,nm0125217,nm0268277,nm0396275,nm0568796,nm1717030,nm0992289,nm0876668,nm0182975,nm0188592,nm0191526,nm0249939,nm1193002,nm0416893,nm1334627,nm0483231,nm0538308,nm0540426,nm0551991,nm0642797,nm0186778,nm0661778,nm3459525,nm0745274,nm1717297,nm0824893,nm0005558,nm0064773,nm1226975,nm1937581,nm0428319,nm0432256,nm3647993,nm1228515,nm0863999,nm0126097,nm2089942,nm1607414,nm1227442,nm0253484,nm1714913,nm1379970,nm0312207,nm1720015,nm0391882,nm2055254,nm0424041,nm3305509,nm1860500,nm1611776,nm1186141,nm1242833,nm1596791,nm1881818,nm1981275,nm1108472,nm1961021,nm1688408,nm0705967,nm1332545,nm1392583,nm1391065,nm1981371,nm0878533,nm1005454,nm1382812,nm0427851,nm1670368,nm1610222,nm2254851,nm3147085,nm1173178,nm2479934,nm1662390,nm0296483,nm0445389,nm2182891,nm2076857,nm2253439,nm0638881,nm1958392,nm0874751,nm2340197,nm1838354,nm1344016,nm2550987,nm2252692,nm1563040,nm0233481,nm1265771,nm2258668,nm1188405,nm0732811,nm2252165,nm0932890,nm0421012,nm4983677,nm1646179,nm2857238,nm0306712,nm2937125,nm1909268,nm3146614,nm2015113,nm2543783,nm2428447,nm4415666,nm2272053,nm2898214,nm1063564"
tt0246368,"nm5205550,nm1246255",\N
tt0246370,"nm0100627,nm0245677,nm0159925,nm0317442,nm0132981,nm0638679,nm0617023,nm0392350,nm0036272","nm0036272,nm0638846,nm0841003,nm0202379,nm0441028,nm1311231,nm0088913,nm0540275,nm1342760,nm0392350,nm1265743,nm1732626,nm0647746,nm1095314,nm0742628,nm0748906,nm0850578,nm0956532,nm0026199,nm1342221,nm0293997,nm0326775,nm1122008,nm0285459,nm1227825,nm0408742,nm3669143,nm0524153,nm3851857,nm3832214,nm0759112,nm1959373,nm1008406,nm1341986,nm1263567,nm1314940"
tt0246371,nm0456087,"nm1583612,nm1090177,nm0626604,nm1666014,nm1563154"
tt0246372,\N,\N
tt0246378,"nm0742144,nm0759617,nm0092822,nm0236650,nm0753898,nm0432659,nm0466234","nm0759617,nm0092822,nm8606670,nm0742144,nm1146142,nm4340723,nm8613442,nm0351595,nm2409794,nm4089299,nm0088179,nm0466234,nm1441902,nm0236650,nm7958154,nm0753898,nm0432659,nm2174578,nm1627888,nm8607629,nm8607630,nm0291002,nm0676122,nm0294540"
tt0246379,nm7476626,nm2301748
tt0246381,"nm0928537,nm0046289,nm10092095,nm0844224,nm2659053,nm2017181,nm2432707,nm2660190,nm1149561","nm10026604,nm2659053,nm7096937,nm4316610,nm2017181,nm4881595,nm9089707,nm6984255,nm4925441,nm2432707,nm5188260,nm9724041,nm9043642,nm2660190,nm0902792"
tt0246382,nm1141851,"nm0037074,nm0874363,nm2143883"
tt0246383,"nm1048564,nm0000343,nm0427305,nm0198998","nm0130124,nm0130154,nm13579984,nm0198998,nm0337008,nm2682614,nm13579928,nm0811138,nm13739501"
tt0246385,nm0381886,\N
