tconst,averagerating,numvotes
tt0385626,7.0,13
tt0385635,6.9,1161
tt0385637,9.2,321
tt0385638,6.5,626
tt0385639,4.3,2563
tt0385648,3.1,32
tt0385651,6.2,17
tt0385652,7.9,15
tt0385655,5.2,26
tt0385656,5.0,170
tt0385658,4.6,20
tt0385659,8.0,11
tt0385660,7.1,67
tt0385663,7.4,13
tt0385664,6.7,92
tt0385666,6.9,121
tt0385667,3.3,86
tt0385668,6.9,364
tt0385669,3.6,11
tt0385671,4.8,26
tt0385672,8.5,11
tt0385674,7.7,24
tt0385675,7.5,20
tt0385676,5.0,215
tt0385677,5.8,1179
tt0385683,5.1,361
tt0385687,7.2,8
tt0385688,5.8,84
tt0385690,7.5,33161
tt0385691,6.2,28
tt0385694,7.2,8
tt0385698,7.6,5
tt0385700,7.2,57390
tt0385703,6.9,2300
tt0385705,6.8,32016
tt0385710,7.2,11
tt0385711,4.9,16
tt0385715,5.7,18
tt0385716,4.8,354
tt0385717,5.4,19
tt0385722,8.8,16
tt0385723,6.6,34
tt0385725,8.1,16
tt0385726,7.2,47848
tt0385727,5.4,319
tt0385731,5.6,79
tt0385734,8.0,8
tt0385735,7.7,30
tt0385737,4.1,179
tt0385738,5.7,1124
tt0385741,8.1,17
tt0385747,7.6,27
tt0385748,4.8,291
tt0385751,5.4,4875
tt0385752,6.1,193548
tt0385754,6.0,307
tt0385755,8.0,8
tt0385756,3.2,715
tt0385757,6.0,37
tt0385761,8.0,14
tt0385763,6.4,13
tt0385764,5.2,67
tt0385766,8.1,14
tt0385769,7.2,14
tt0385772,6.8,8
tt0385779,6.0,135
tt0385781,8.2,53
tt0385782,5.3,181
tt0385784,4.7,31
tt0385787,5.7,64
tt0385788,7.1,34
tt0385789,3.2,242
tt0385791,6.8,557
tt0385793,2.0,35
tt0385794,5.8,104
tt0385795,6.4,153
tt0385796,7.7,17
tt0385797,7.0,21
tt0385798,8.5,20
tt0385801,6.9,150
tt0385802,7.5,30
tt0385813,5.0,792
tt0385814,7.2,7
tt0385815,8.3,283
tt0385816,7.0,8
tt0385818,6.0,26
tt0385819,6.6,8
tt0385822,7.7,56
tt0385823,5.7,33
tt0385824,7.8,32
tt0385826,5.9,62
tt0385827,6.6,58
tt0385828,7.2,62
tt0385831,8.4,64
tt0385836,8.3,12
tt0385837,6.2,11
tt0385839,7.7,125
tt0385841,6.3,29
tt0385842,6.9,3655
tt0385844,7.3,44
tt0385846,4.7,389
tt0385847,7.0,13
tt0385854,6.5,30
tt0385856,6.0,19
tt0385858,8.2,21
tt0385859,4.4,48
tt0385860,7.2,11
tt0385864,8.3,7
tt0385865,5.8,117
tt0385866,7.6,8
tt0385867,4.2,27
tt0385872,8.8,68
tt0385873,6.0,5
tt0385875,7.8,8
tt0385878,6.6,540
tt0385880,6.6,130962
tt0385884,7.6,9
tt0385887,6.8,60843
tt0385888,9.1,46
tt0385889,6.9,545
tt0385890,3.2,1417
tt0385891,4.8,1726
tt0385892,6.0,9
tt0385893,6.3,115
tt0385896,6.8,19
tt0385903,7.8,5
tt0385905,7.1,7
tt0385906,6.6,30
tt0385907,8.0,10
tt0385908,7.9,70
tt0385910,8.0,42
tt0385915,7.3,20
tt0385917,6.8,11
tt0385918,7.4,61
tt0385919,6.8,8
tt0385920,6.4,7
tt0385921,8.4,9
tt0385924,3.5,17
tt0385926,7.1,53
tt0385928,8.2,4167
tt0385932,6.1,152
tt0385933,5.6,637
tt0385934,7.8,53
tt0385940,5.4,1253
tt0385943,6.1,13
tt0385948,5.9,9
tt0385950,8.0,7
tt0385951,5.9,44
tt0385954,6.0,26
tt0385956,7.6,63
tt0385959,6.7,14
tt0385960,6.6,88
tt0385961,3.5,538
tt0385967,7.4,16
tt0385969,5.2,1733
tt0385970,5.2,6
tt0385974,6.4,19
tt0385976,7.6,6
tt0385977,6.2,21
tt0385978,6.8,24
tt0385982,3.8,240
tt0385983,4.9,14
tt0385986,6.6,327
tt0385988,3.6,1297
tt0385989,8.7,634
tt0385990,3.1,1729
tt0385991,8.9,8
tt0385993,5.5,461
tt0385998,6.8,185
tt0385999,5.8,7
tt0386005,6.9,28335
tt0386010,8.5,14
tt0386011,8.5,9
tt0386013,8.4,60
tt0386016,7.7,199
tt0386018,7.7,12
tt0386019,3.3,182
tt0386022,6.6,22
tt0386029,6.1,448
tt0386032,8.0,76314
tt0386033,5.7,20
tt0386034,6.0,23
tt0386035,5.4,25
tt0386038,7.5,3459
tt0386040,8.3,3279
tt0386041,6.7,53
tt0386045,5.6,35
tt0386046,4.4,104
tt0386047,6.1,321
tt0386048,9.4,12
tt0386049,7.1,25
tt0386050,4.0,7
tt0386051,7.3,105
tt0386054,6.3,9
tt0386059,7.7,13
tt0386060,3.5,609
tt0386061,8.2,835
tt0386063,8.1,9
tt0386064,8.0,40556
tt0386065,6.8,460
tt0386066,8.6,25
tt0386067,6.3,58
tt0386068,6.8,247
tt0386069,5.5,7
tt0386070,8.4,13
tt0386072,7.2,15
tt0386074,6.1,17
tt0386075,6.1,106
tt0386077,5.0,11
tt0386078,7.0,307
tt0386079,6.2,11
tt0386080,7.0,124
tt0386083,6.0,27
tt0386084,8.2,7
tt0386085,8.3,12
tt0386087,4.6,126
tt0386088,6.0,10
tt0386090,6.3,176
tt0386092,6.5,646
tt0386094,8.0,9
tt0386095,4.7,169
tt0386096,6.3,38
tt0386097,7.0,31
tt0386099,6.5,56
tt0386102,4.8,153
tt0386105,5.1,28
tt0386107,8.4,33
